Humorous tone 	የለዛ ድምጻት 
I 	
Ibid 	ዝኒ ከማሁ÷ እንደቀድሞው 
Ibidem (L)	ዝኒ ከማሁ ÷ እንደቀድሞው 
Inductive 	ጠቅላላ 
Informative report 	አስረጅ መዘርዝር 
Inquiry report 	ጠጥያቄዊ መዘርዝር 
Internal memorandum 	የውስጥ ማስታወሻ መዘርዝር 
L 	
Letter report 	የደብዳቤ መዘርዝር 
literary research 	ሥነ ጽሑፋዊ ምርምር 
Loc. Cit. 	ጥቁም ሥራ 
M 	
memo, Memorandum 	ማስታወሻ 
Memoir 	የሕይወት ታሪክ ማስታወሻ 
Message 	መልእክት 
N 	
Natural science 	የተፈጥሮ ሳይንስ 
News story 	ዜና 
O 	
Observation 	አስተውሎት 
Op.cit 	ጥቁም ቦታ
Oral reprot 	የቃል መዘርዝር 
Outline 	አስተዋፅዖ÷ አርእስት ጉዳይ 
P	
Passim (L) 	በየትም ቦታ (በመጽሐፍ ውስጥ) 
Periodic report 	ወቅታዊ ዘገባ
persuasive tone	የመግባቢያ ጽምጸት
popular article	ተወዳጅ ጽሑፍ
preliminary, the front matter	መቅድማዊ ክፍል
primary information	ቀዳሚ መረጃ
professional article	ሙያ ነክ ጽሑፍ
profile	ገጽታ (በጽሑፍ)
Q	
qualitative data	ዓይነታዊ መረጃ
ayantutative data	መጠናዊ መረጃ
quarterly report	ሩባመታዊ ዘገባ
questionnaire	መጠይቅ
R	
Raw materials	ጥሬ ነገሮች
report	ዘገባ፤ መዘርዝር
report writing	የዘገባ አንጻጻፍ
research	ፈምርምር
scientific research	ሳይንሳዊ ምርምር
semiannual report	መንፈቃዊ ዘገባ
short science 	የሕብረተሰብ ሳይንስ
short science	አጭር መዘርዝር
source	የሕብረተሰብ ሳይንስ
statement, expose (F)	የመረጃ ምንጭ
syllogistic reasoning	ነገራ (ሰ.መ)
T	ተጠየቃዊ ምክንያት
the reference matter	ማመሣከሪያ ክፍል
the text	ዋና ክፍል
tone	ድምጸት
transmittal slip	የመሽኛ ቅጽ
U	
ut infra ()	እንደ ታችኛው
Theater - ቲያትር 	እንደ ላይኛው
A 	
Absurd theater 	ወለፈንዴ ቲያትር 
acoustic ceiling 	ድምፀ-ከል አጎበር 
Act 	ገቢር 
Acting 	ትወና 
Acting rehearsal 	የትወና ልምምድ 
Action 	ድርጊያ 
Actress 	ተዋናይት 
After piece 	ድኅረ-ትዕይንት 
Amphitheater 	አይጠየፌ አዳራሽ 
Appeal 	እዩኝታ፤ ስሚታ 
Aside 	የጎንታ መነባንብ 
Atmosphere 	ድባብ 
Audience 	ተደራሲ 
B 	
Body language 	አካላዊ አንጋር 
box 	የሳንዱቅ ሠገነት 
Box front light 	ብርሃነ- ሰገነት 
Business 	ክንዋኔ 
C	
Call boy 	የመድረክ ተላላኪ 
Catharsis (F) 	እፎይታ 
Clown 	አስቂኝ ተዋናይ፣ ተራቢ 
Color filters 	አቅላሚ ግርዶሽ 
Color Mixing 	ቀለም ቅየጣ 
Comedy 	ፍግ 
Comic 	አስቂኝ  
Comic relief 	አስቂኝ እፎይታ 
Costume 	አልባሳት 
Coup de theatrre (F) 	ተውኔታዊ ውጤት 
Curtain 	መጋረጃ 
Curtain raiser 	መጋረጃ ከፋች 
D	
Diction, Accent 	አነጋገር 
Direct light 	ቀጥተኛ ብርሃን 
Director 	አዘጋጅ (የተውኔት) 
Double entente (F) 	ሕብረ-ቃላዊ ተውኔት 
Drama, play 	ተውኔት 
Dramatic form 	ተውኔታዊ ቅርዕ 
Dramatic irony 	ተውኔታዊ ምፀት 
Dramatic reading 	ተውኔታዊ አነባበብ 
Dramatis Personae (L) 	የተውኔት ገፀባሕሪያት 
Dual plot 	ድምር ሴራ 
Deus ex machina (L) 	ገላግሌ 
E	
Electrician 	የመብራት ሠራተኛ 
Elocution 	የንግግር ጥበብ 
Eloquent 	አንደበተ-ርቱዕ 
Emotion 	ስሜት 
Facone de parler (F) 	የአነጋገር ስልት 
Farce 	ቧልታይ ተውኔት 
Floodlight 	ልቅ ብርሃን 
Fore stage 	ቀዳሚ መድረክ 
Fortier in re (L) 	ትኳሬ ትወና 
Foyer 	የቲያትር መተላለፊያ ቦታ 
Full play 	ረዥም ተውኔት 
G 	
Gesture 	የገለፃ እንቅስቃሴ (በሰውነት) 
H 	
Hall 	አዳራሽ 
I 	
Impersonation 	ስላምሳል 
Interlude 	የእረፍት ጊዜ
J	
Jeu de mots (F) 	ቃላት ዘመት ተውኔት
L 	
Loose Plot 	ልቅ ሴራ
M 	
Makeup 	የገጽ ቅብ
Makeup Man 	ገጽ ቀቢ
Mask 	ጭምብል
Melodrama 	ድንቃይ ተውኔት 
Mimic 	ሌላ -ቀድ ትወና
Miracle play 	ታምራይ ተውኔት
Mise en scene (F) 	የመድረክ ስኬት
Morality play 	ገግብረገባዊ ተውኔት
musical director	የሙዚቃ መሪ
N	
naturalistic play	ተፈጥሯዊ ተውኔት
O	
one -Act -play	ባለ አንድ ገቢር ተውኔት
opening night	የመክፈቻ ምሽት
opera	ሙዚቃዊ ድራማ
orchestra seat	የሙዚቃ ጓድ መቀመጫ
overact	ጭራ ቀር ትወና
P	
pantomime	ቃል አልባ ተውኔት
parterre	የተመልካች መቀመጫ
performance	ክዋኔ 
performance, show	ትርዕይት
performed	ክውን
performer	ተጫዋች
play script	ቃለ-ተውኔት
play write	ጸሐፌ ተውኔት
poetic drama	ቅኔያዊ ድራማ
prompter	የጥናት መሪ
R	
realistic play	የእውነታ ተውኔት 
